Date,AAPL,AMZN,DIS,GOOGL,HD,JNJ,JPM,MA,MSFT,NVDA,PG,TSLA,V,WMT,XOM
2010-01-05,0.0017290818355548687,0.0058998892697967875,-0.002494677450680771,-0.0044036665098530214,0.007324443779158862,-0.011595446801136888,0.019370126522207043,-0.002958905543326451,0.00032275594323660783,0.014602553549974528,0.0003271837354632545,0.0,-0.011459436389360977,-0.00995715282986398,0.00390464312669514
2010-01-06,-0.015906289694063047,-0.018115634693665172,-0.005313965728301562,-0.025208742690036923,-0.0034619353034877065,0.008133706714277933,0.005493689573739857,-0.001445733753011047,-0.006136484516505392,0.00639640893436022,-0.004743158413629267,0.0,-0.013428074835559523,-0.002235144350502316,0.008643169101818948
2010-01-07,-0.0018486526954343274,-0.0170132608680289,0.00031422301860772883,-0.023279578533211387,0.011813645202900735,-0.007136921097193438,0.019809377867490152,-0.00653448604658724,-0.010399887726599721,-0.01959754805278946,-0.005423233641582481,0.0,0.009306808099010633,0.0005598702495481778,-0.0031420846814446124
2010-01-08,0.006647844897914146,0.027076941270094634,0.0015708328146044614,0.013331259998283329,-0.004808142986220232,0.003437849871365639,-0.0024562094845743676,0.0003546008666370781,0.006896629759699513,0.002161285206056185,-0.0013218101890195566,0.0,0.0027662279917890498,-0.005037278361352704,-0.004011639861047134
2010-01-11,-0.008821133037333007,-0.024041349123433142,-0.01631095498974533,-0.0015115831275688274,-0.02829532808205626,0.00015591634555667255,-0.003356814032656308,-0.01645856860265771,-0.012720192475216607,-0.014016444679521123,-0.0039707794652943385,0.0,-0.002873481251946308,0.016500935246297033,0.011220179776491923
2010-01-12,-0.011375152175189585,-0.022715100723843973,-0.01721957819248421,-0.01768406281710655,-0.0063916833900170555,0.005293770468553394,-0.02335564690457692,-0.0005599875919761743,-0.006607380729088397,-0.033898321953443,0.011462006132345604,0.0,-0.004726488101462034,0.009592548913983201,-0.0049787843996371706
2010-01-13,0.014105633734360357,0.013820227706130561,0.015249921840678082,-0.005741047592925597,0.005360832936733839,0.006351202822445723,0.017475803687734714,0.025995143113902275,0.009311826075133034,0.01358233333453529,0.010345961785724889,0.0,0.009265748318100453,0.00511555290384047,-0.004003037020128608
2010-01-14,-0.005791760054253192,-0.013631832674516842,-0.00862887224966924,0.004701084166280234,0.006043511975134752,0.00200085295811947,0.009943375976388058,0.01690409459177733,0.02009843993118232,-0.01563365275411488,0.0009753667367091712,0.0,0.0034429523129499984,-0.014542565849042788,0.00014382577151939024
2010-01-15,-0.016711938573942486,-0.001648991677534517,-0.013539745754225008,-0.01669903013741081,0.009540289587161688,-0.008295374754694551,-0.02259980948408513,0.008331244938012183,-0.0032294857256665033,-0.02949494696209276,-0.012341588358725897,0.0,-0.014867616848830534,-0.009776502900017303,-0.008180600803469718
2010-01-19,0.04423837445682666,0.0036967069581697043,0.013398542871381869,0.01313778347403316,0.010850362306261907,0.012236908592756057,-0.00915789683389534,0.007995166594252368,0.0077768371758519805,0.018702291613582833,0.014797788963216707,0.0,0.019851859593149834,0.006520094325750847,0.002315123620366899
2010-01-20,-0.015392484510473703,-0.014340538789756496,0.005804620842470243,-0.012269819990888609,-0.007617341215498841,-0.003060566694319866,0.002772860923812015,-0.005136846193327216,-0.016398806392669663,-0.004016232025554567,-0.013544607605213033,0.0,-0.004894947884273471,-0.003146424083342314,-0.01790079070403794
2010-01-21,-0.017286426998671334,0.006678298086381096,-0.018595501140822313,0.00442798930624777,-0.006280758054526769,-0.01811187935133507,-0.06589892893192373,-0.01852776476977136,-0.01896042743413784,-0.01785707865895636,-0.010091097290327089,0.0,-0.03397399509761456,-0.017453084573830213,-0.019550454494508207
2010-01-22,-0.04959829506553204,-0.040988790522968555,-0.020581505531165667,-0.05655424964022382,-0.026685396703093667,-0.01203676444977142,-0.034040058749311264,-0.025917531852727826,-0.03498831228274224,-0.03460411666416152,0.007854749911863967,0.0,-0.020366367845233047,0.0003783844311924245,-0.008995636543126517
2010-01-25,0.026902529185397706,-0.009223380956577043,-0.0020015723703018518,-0.018199735499969893,-0.0036072096618547933,0.000316333124376289,0.0012764926312758273,0.002541730480909443,0.012430854506460198,0.017011016226298414,0.005305893423329877,0.0,-0.008461922847015857,-0.0011336686550340591,-0.0037816258304733674
