Date,AAPL,AMZN,DIS,GOOGL,HD,JNJ,JPM,MA,MSFT,NVDA,PG,TSLA,V,WMT,XOM
2010-01-04,6.418382167816162,6.695000171661377,27.291227340698242,15.566815376281738,19.571794509887695,40.41844177246094,28.552143096923828,23.617971420288086,23.130054473876953,0.423806756734848,38.417030334472656,1.5926669836044312,19.645658493041992,12.960366249084473,37.88179397583008
2010-01-05,6.429480075836182,6.734499931335449,27.22314453125,15.49826431274414,19.715147018432617,39.949771881103516,29.105201721191406,23.54808807373047,23.13751983642578,0.42999541759490967,38.42959976196289,1.5926669836044312,19.420530319213867,12.831317901611328,38.02970886230469
2010-01-06,6.327210903167725,6.612500190734863,27.078481674194336,15.107572555541992,19.646894454956055,40.27471160888672,29.26509666442871,23.5140438079834,22.99553680419922,0.4327458441257477,38.24732208251953,1.5926669836044312,19.15974998474121,12.802638053894043,38.35840606689453
2010-01-07,6.315514087677002,6.5,27.086990356445312,14.755874633789062,19.878995895385742,39.987274169921875,29.844820022583008,23.36039161682129,22.756385803222656,0.4242650866508484,38.03989791870117,1.5926669836044312,19.33806610107422,12.809805870056152,38.23788070678711
2010-01-08,6.357498645782471,6.676000118255615,27.129539489746094,14.95258903503418,19.783414840698242,40.1247444152832,29.771514892578125,23.368675231933594,22.913328170776367,0.425182044506073,37.98961639404297,1.5926669836044312,19.391559600830078,12.745279312133789,38.0844841003418
2010-01-11,6.301418304443359,6.515500068664551,26.687030792236328,14.929986953735352,19.223636627197266,40.13100051879883,29.67157745361328,22.984060287475586,22.62186622619629,0.41922250390052795,37.838768005371094,1.5926669836044312,19.335838317871094,12.955588340759277,38.51179885864258
2010-01-12,6.229738712310791,6.367499828338623,26.22749137878418,14.665964126586914,19.100765228271484,40.34344482421875,28.978578567504883,22.971189498901367,22.472394943237305,0.4050115644931793,38.27247619628906,1.5926669836044312,19.244447708129883,13.079865455627441,38.3200569152832
2010-01-13,6.317613124847412,6.45550012588501,26.627458572387695,14.581766128540039,19.203161239624023,40.599674224853516,29.485002517700195,23.568328857421875,22.68165397644043,0.4105125665664673,38.66844177246094,1.5926669836044312,19.422761917114258,13.14677619934082,38.16666030883789
2010-01-14,6.281023025512695,6.367499828338623,26.397693634033203,14.65031623840332,19.319215774536133,40.680908203125,29.778182983398438,23.96673011779785,23.13751983642578,0.40409475564956665,38.70615768432617,1.5926669836044312,19.489633560180664,12.955588340759277,38.172149658203125
2010-01-15,6.176054954528809,6.35699987411499,26.04027557373047,14.405670166015625,19.50352668762207,40.34344482421875,29.105201721191406,24.16640281677246,23.06279754638672,0.3921760022640228,38.22846221923828,1.5926669836044312,19.19986915588379,12.828927993774414,37.85987854003906
2010-01-19,6.449273586273193,6.380499839782715,26.389177322387695,14.594928741455078,19.715147018432617,40.83712387084961,28.838659286499023,24.359617233276367,23.24215316772461,0.39951059222221375,38.794158935546875,1.5926669836044312,19.581022262573242,12.91257381439209,37.94752883911133
2010-01-20,6.350003242492676,6.289000034332275,26.542356491088867,14.415851593017578,19.564970016479492,40.71213912963867,28.918624877929688,24.234485626220703,22.86100959777832,0.3979060649871826,38.268707275390625,1.5926669836044312,19.48517417907715,12.87194538116455,37.26823806762695
2010-01-21,6.240234375,6.330999851226807,26.04878807067871,14.479684829711914,19.442087173461914,39.97476577758789,27.01291847229004,23.78547477722168,22.427555084228516,0.3908006250858307,37.88253402709961,1.5926669836044312,18.823184967041016,12.647290229797363,36.53962707519531
2010-01-22,5.930729389190674,6.071499824523926,25.512664794921875,13.660797119140625,18.923267364501953,39.49359893798828,26.09339714050293,23.16901397705078,21.642852783203125,0.37727731466293335,38.180091857910156,1.5926669836044312,18.4398250579834,12.65207576751709,36.21092987060547
2010-01-25,6.090281009674072,6.015500068664551,25.461599349975586,13.412174224853516,18.85500717163086,39.5060920715332,26.126705169677734,23.227903366088867,21.91189193725586,0.38369518518447876,38.38267135620117,1.5926669836044312,18.283788681030273,12.63773250579834,36.07399368286133
2010-01-26,6.176356792449951,5.973999977111816,25.240345001220703,13.472280502319336,18.930099487304688,39.23737716674805,25.61363410949707,22.87458610534668,22.046415328979492,0.371547132730484,38.42064666748047,1.5926669836044312,18.087650299072266,12.812199592590332,36.11234664916992
2010-01-27,6.234538555145264,6.137499809265137,24.951007843017578,13.464334487915039,19.00519371032715,39.64356994628906,26.206676483154297,23.58489418029785,22.1734619140625,0.38163235783576965,38.496620178222656,1.5926669836044312,18.70282745361328,12.762006759643555,35.9041748046875
2010-01-28,5.976916313171387,6.301499843597412,24.976537704467773,13.270354270935059,18.663867950439453,39.868534088134766,26.306612014770508,22.951871871948242,21.792325973510742,0.36879658699035645,39.04737091064453,1.5926669836044312,18.421979904174805,12.573211669921875,35.58642578125
2010-01-29,5.760077476501465,6.270500183105469,25.14673614501953,13.162310600280762,19.121240615844727,39.2811393737793,25.946809768676758,22.99327278137207,21.0599365234375,0.3527520000934601,38.965084075927734,1.5926669836044312,18.283788681030273,12.769177436828613,35.29608154296875
2010-02-01,5.840155601501465,5.94350004196167,25.121204376220703,13.238809585571289,19.380647659301758,39.42485427856445,26.406564712524414,23.317150115966797,21.231826782226562,0.3797985911369324,39.24363708496094,1.5926669836044312,18.64710235595703,12.781126022338867,36.2547721862793
2010-02-02,5.874044418334961,5.906000137329102,25.512664794921875,13.191617965698242,19.817546844482422,39.987274169921875,27.019582748413086,23.23801612854004,21.269184112548828,0.38369518518447876,39.819732666015625,1.5926669836044312,18.725122451782227,12.783515930175781,36.68207931518555
2010-02-03,5.975116729736328,5.954999923706055,26.167922973632812,13.432541847229004,19.435260772705078,39.762298583984375,26.846345901489258,22.779813766479492,21.396236419677734,0.3869040608406067,39.661460876464844,1.5926669836044312,18.615894317626953,12.969931602478027,36.484840393066406
2010-02-04,5.759781360626221,5.796999931335449,25.248855590820312,13.08382511138916,19.066631317138672,39.14364242553711,25.553659439086914,20.436315536499023,20.805837631225586,0.36444178223609924,38.87013244628906,1.5926669836044312,18.511138916015625,12.659246444702148,35.4549446105957
2010-02-05,5.862049102783203,5.869500160217285,25.138227462768555,13.195840835571289,19.100765228271484,39.14364242553711,25.520347595214844,20.310264587402344,20.940357208251953,0.3717763125896454,38.80681228637695,1.5926669836044312,18.401926040649414,12.773959159851074,35.498783111572266
2010-02-08,5.821861743927002,5.8414998054504395,25.087169647216797,13.249987602233887,19.517183303833008,38.97491455078125,25.12055206298828,20.831045150756836,20.716154098510742,0.3710887134075165,38.62322998046875,1.5926669836044312,18.511138916015625,12.64968490600586,35.48223876953125
2010-02-09,5.8839430809021,5.901500225067139,25.393526077270508,13.323752403259277,19.708330154418945,39.21864318847656,25.580324172973633,20.55961036682129,20.932886123657227,0.36810895800590515,39.0980339050293,1.5926669836044312,18.5601806640625,12.72616195678711,35.9509162902832
2010-02-10,5.851851463317871,5.868000030517578,25.55521011352539,13.274327278137207,19.558137893676758,39.19990158081055,25.900165557861328,20.87705421447754,20.917945861816406,0.37521442770957947,39.041072845458984,1.5926669836044312,18.67066764831543,12.723770141601562,35.75794219970703
2010-02-11,5.958322048187256,6.004499912261963,25.66584014892578,13.322761535644531,19.790245056152344,39.3123779296875,26.00010871887207,21.07026481628418,21.015100479125977,0.39240512251853943,39.224639892578125,1.5926669836044312,19.00551414489746,12.68553352355957,35.972984313964844
2010-02-12,6.0096049308776855,5.982999801635742,25.589250564575195,13.241292953491211,19.797067642211914,39.19363784790039,25.953460693359375,20.746389389038086,20.87310218811035,0.39767688512802124,39.0980339050293,1.5926669836044312,18.925151824951172,12.642512321472168,35.730369567871094
2010-02-16,6.100177764892578,5.876500129699707,25.929645538330078,13.444462776184082,20.09744644165039,39.74979019165039,26.699756622314453,20.729822158813477,21.286054611206055,0.4050115644931793,39.77540588378906,1.5926669836044312,19.17070198059082,12.800249099731445,36.54643630981445
2010-02-17,6.0746870040893555,5.815499782562256,26.261531829833984,13.367714881896973,20.493375778198242,39.981014251708984,26.679765701293945,20.68657875061035,21.46626091003418,0.4089081883430481,39.788063049316406,1.5926669836044312,19.291250228881836,12.919742584228516,36.25970458984375
2010-02-18,6.086082458496094,5.9039998054504395,26.397693634033203,13.49215030670166,20.684528350830078,40.324710845947266,26.926301956176758,20.426197052001953,21.751569747924805,0.3820907473564148,40.12992477416992,1.5926669836044312,19.411785125732422,12.77873706817627,36.369972229003906
2010-02-19,6.048293113708496,5.875999927520752,26.576396942138672,13.431051254272461,20.582128524780273,40.17988586425781,26.673097610473633,20.484153747558594,21.601408004760742,0.3800278902053833,40.167911529541016,1.5926669836044312,19.378297805786133,12.783515930175781,36.32035827636719
2010-02-22,6.010803699493408,5.9004998207092285,26.482789993286133,13.481719017028809,20.698177337646484,39.97838592529297,27.219482421875,20.632305145263672,21.57137107849121,0.3807154893875122,40.14891815185547,1.5926669836044312,19.400623321533203,12.86477279663086,36.06121063232422
2010-02-23,5.910035133361816,5.861999988555908,26.312591552734375,13.289728164672852,20.99172019958496,39.86503601074219,26.573150634765625,20.42803955078125,21.271041870117188,0.371547132730484,40.01598358154297,1.5926669836044312,19.22427749633789,12.81458568572998,35.807559967041016
2010-02-24,6.018002986907959,5.986000061035156,26.712554931640625,13.200312614440918,21.408140182495117,39.95320129394531,27.219482421875,20.40319061279297,21.496286392211914,0.37934017181396484,40.44644546508789,1.5926669836044312,19.114891052246094,12.886286735534668,36.1439094543457
2010-02-25,6.058189868927002,5.909999847412109,26.687030792236328,13.075132369995117,21.408140182495117,39.84614944458008,27.079565048217773,20.379268646240234,21.4737606048584,0.3759021461009979,40.32617950439453,1.5926669836044312,19.025596618652344,12.941251754760742,35.917823791503906
2010-02-26,6.136767864227295,5.920000076293945,26.58490562438965,13.084321022033691,21.298921585083008,39.669837951660156,27.965776443481445,20.64426612854004,21.526321411132812,0.37131795287132263,40.060279846191406,1.5926669836044312,19.036760330200195,12.922130584716797,35.840633392333984
2010-03-01,6.267827987670898,6.2270002365112305,26.840208053588867,13.230613708496094,21.455923080444336,39.91542053222656,27.87250518798828,21.414377212524414,21.789113998413086,0.386216402053833,40.20588302612305,1.5926669836044312,19.380535125732422,12.881505966186523,36.06121063232422
2010-03-02,6.263630390167236,6.276500225067139,27.129539489746094,13.438502311706543,21.408140182495117,39.946895599365234,27.732563018798828,21.32880973815918,21.36864471435547,0.385987251996994,40.332515716552734,1.5926669836044312,19.297929763793945,12.807412147521973,36.11082458496094
2010-03-03,6.278024196624756,6.29449987411499,26.92530632019043,13.544310569763184,21.483238220214844,39.92170333862305,27.672592163085938,21.36008644104004,21.36864471435547,0.3811739385128021,40.231231689453125,1.5926669836044312,19.376073837280273,12.82414436340332,36.07774353027344
2010-03-04,6.3194122314453125,6.426499843597412,27.716720581054688,13.774551391601562,21.462757110595703,40.02875900268555,27.932449340820312,21.438308715820312,21.496286392211914,0.38186147809028625,40.30718231201172,1.5926669836044312,19.429649353027344,12.895842552185059,36.06121063232422
2010-03-05,6.566539764404297,6.445499897003174,28.269868850708008,14.013487815856934,21.708513259887695,40.324710845947266,28.52549934387207,22.04005241394043,21.46626091003418,0.3935511112213135,40.31983947753906,1.5926669836044312,19.757787704467773,12.938863754272461,36.651180267333984
2010-03-08,6.570437431335449,6.505499839782715,28.24433135986328,13.970518112182617,21.81774139404297,40.42546081542969,28.378902435302734,22.598546981811523,21.496286392211914,0.38782092928886414,40.00331497192383,1.5926669836044312,20.231027603149414,12.941251754760742,36.65671920776367
